user_login,id,ref,creds,user_id,membership_level,user_name
2gou,2,publishing_content,25,2,2,2gou
2gou,2,publishing_content,25,2,2,2gou
Fang,5,publishing_content,25,5,2,Fang
tingting,3,publishing_content,25,3,3,tingting
Yves,4,publishing_content,25,4,2,Yves
tingting,3,publishing_content,25,3,3,tingting
tingting,3,publishing_content,25,3,3,tingting
Fang,5,publishing_content,25,5,2,Fang
tingting,3,publishing_content,25,3,3,tingting
Yves,4,publishing_content,25,4,2,Yves
2gou,2,publishing_content,25,2,2,2gou
2gou,2,publishing_content,25,2,2,2gou
Yves,4,publishing_content,25,4,2,Yves
tingting,3,publishing_content,25,3,3,tingting
2gou,2,logging_in,20,2,2,2gou
2gou,2,site_visit,15,2,2,2gou
tingting,3,logging_in,20,3,3,tingting
tingting,3,site_visit,15,3,3,tingting
Yves,4,logging_in,20,4,2,Yves
Yves,4,site_visit,15,4,2,Yves
tingting,3,approved_comment,20,3,3,tingting
Yves,4,approved_comment,20,4,2,Yves
tingting,3,approved_comment,15,3,3,tingting
tingting,3,approved_comment,15,3,3,tingting
tingting,3,approved_comment,20,3,3,tingting
tingting,3,approved_comment,15,3,3,tingting
tingting,3,approved_comment,15,3,3,tingting
2gou,2,approved_comment,20,2,2,2gou
tingting,3,approved_comment,15,3,3,tingting
2gou,2,approved_comment,20,2,2,2gou
tingting,3,approved_comment,15,3,3,tingting
tingting,3,approved_comment,15,3,3,tingting
